Row,Range,Score ,Notes
0,1,0,
0,2,0,
0,3,0,
0,4,0,
0,5,0,
0,6,0,
0,7,2,
0,8,0,
0,9,0,
0,10,0,
0,11,0,
0,12,0,
0,13,0,
0,14,1,
0,15,0,
0,16,0,
0,17,0,
0,18,0,
0,19,1,
0,20,1,
0,21,0,
0,22,1,
0,23,0,
0,24,0,
0,25,0,
0,26,0,
1,1,0,
1,2,0,
1,3,1,
1,4,0,
1,5,1,
1,6,0,
1,7,2,
1,8,0,
1,9,3,
1,10,0,
1,11,1,
1,12,0,
1,13,0,
1,14,0,
1,15,1,
1,16,0,
1,17,0,
1,18,0,
1,19,0,
1,20,0,
1,21,3,
1,22,3,
1,23,1,
1,24,0,
1,25,0,
1,26,0,
5,1,0,
5,2,0,
5,3,0,
5,4,0,
5,5,0,
5,6,0,
5,7,0,Tractor damaged
5,8,NA,Tractor damaged
5,9,NA,Tractor damaged
5,10,3,
5,11,1,
5,12,0,
5,13,0,
5,14,0,
5,15,1,
5,16,0,
5,17,0,
5,18,0,
5,19,0,
5,20,1,
5,21,1,
5,22,0,
5,23,1,
5,24,0,
5,25,0,only half of the plot biomass weighed
5,26,0,NA biomass
9,1,0,
9,2,0,
9,3,0,
9,4,0,
9,5,0,
9,6,0,
9,7,0,
9,8,1,
9,9,0,
9,10,0,
9,11,0,
9,12,2,
9,13,0,
9,14,0,
9,15,0,
9,16,0,
9,17,0,
9,18,0,
9,19,0,
9,20,0,
9,21,0,
9,22,0,
9,23,0,
9,24,0,
9,25,0,
9,26,0,NA Biomass
13,1,0,
13,2,0,
13,3,0,
13,4,0,
13,5,0,
13,6,0,
13,7,0,
13,8,5,
13,9,0,
13,10,0,
13,11,0,
13,12,0,
13,13,0,
13,14,1,
13,15,1,
13,16,0,
13,17,0,
13,18,1,
13,19,0,
13,20,1,
13,21,0,
13,22,0,
13,23,0,
13,24,0,
13,25,0,
13,26,0,
17,1,0,
17,2,0,
17,3,0,
17,4,0,
17,5,4,
17,6,0,
17,7,0,
17,8,2,
17,9,0,
17,10,0,
17,11,0,
17,12,1,
17,13,0,
17,14,1,
17,15,1,
17,16,0,
17,17,0,
17,18,1,
17,19,1,
17,20,1,
17,21,0,
17,22,0,
17,23,0,
17,24,2,
17,25,0,
17,26,0,
21,1,0,
21,2,0,
21,3,0,
21,4,0,
21,5,1,
21,6,3,
21,7,3,
21,8,0,
21,9,0,
21,10,0,
21,11,0,
21,12,0,
21,13,1,
21,14,0,
21,15,1,
21,16,1,
21,17,0,
21,18,0,
21,19,0,
21,20,0,
21,21,0,
21,22,0,
21,23,0,
21,24,2,
21,25,1,
21,26,0,
25,1,0,
25,2,0,
25,3,0,
25,4,3,
25,5,2,
25,6,3,
25,7,1,
25,8,3,
25,9,1,
25,10,1,
25,11,1,
25,12,3,
25,13,2,
25,14,0,
25,15,0,
25,16,0,
25,17,0,
25,18,0,
25,19,0,
25,20,0,
25,21,0,
25,22,2,collected some plant debris
25,23,1,
25,24,0,
25,25,0,
25,26,0,
29,1,0,
29,2,0,
29,3,0,
29,4,3,
29,5,0,
29,6,2,
29,7,0,
29,8,2,
29,9,2,
29,10,4,missed some plants
29,11,1,
29,12,1,
29,13,0,
29,14,1,
29,15,0,
29,16,0,
29,17,2,
29,18,0,
29,19,0,
29,20,0,
29,21,0,
29,22,0,
29,23,0,
29,24,0,
29,25,1,
29,26,0,
33,1,0,
33,2,0,
33,3,0,
33,4,2,
33,5,0,
33,6,0,
33,7,0,
33,8,0,
33,9,1,
33,10,0,
33,11,0,
33,12,0,
33,13,0,
33,14,0,
33,15,0,
33,16,0,
33,17,0,
33,18,0,
33,19,0,Bad NIR data 
33,20,0,Bad NIR data 
33,21,1,Bad NIR data 
33,22,0,Bad NIR data 
33,23,0,Bad NIR data 
33,24,0,Bad NIR data 
33,25,0,Bad NIR data 
33,26,0,Bad NIR data 
37,1,0,
37,2,0,
37,3,0,
37,4,0,
37,5,0,
37,6,5,
37,7,1,
37,8,1,
37,9,0,
37,10,0,
37,11,0,
37,12,2,
37,13,1,
37,14,2,
37,15,2,
37,16,0,
37,17,0,
37,18,1,
37,19,0,
37,20,0,
37,21,0,
37,22,0,
37,23,1,
37,24,0,
37,25,1,
37,26,0,
41,1,0,
41,2,0,
41,3,0,
41,4,0,
41,5,0,
41,6,0,
41,7,0,
41,8,0,
41,9,0,
41,10,0,
41,11,0,
41,12,2,
41,13,0,
41,14,0,
41,15,1,
41,16,0,
41,17,0,
41,18,0,
41,19,0,
41,20,1,only 1/2 biomass data
41,21,0,
41,22,0,
41,23,0,
41,24,0,
41,25,0,
41,26,0,
45,1,0,
45,2,0,
45,3,0,
45,4,0,
45,5,0,
45,6,0,
45,7,0,
45,8,0,
45,9,1,
45,10,2,
45,11,3,
45,12,1,
45,13,4,
45,14,0,
45,15,0,
45,16,0,
45,17,0,
45,18,1,
45,19,0,
45,20,0,
45,21,0,
45,22,0,
45,23,0,
45,24,3,
45,25,0,
45,26,0,
49,1,0,
49,2,0,
49,3,0,
49,4,0,
49,5,0,
49,6,1,
49,7,1,
49,8,0,
49,9,0,
49,10,0,
49,11,1,
49,12,2,
49,13,0,
49,14,1,
49,15,0,
49,16,0,
49,17,0,
49,18,0,
49,19,0,
49,20,2,
49,21,1,
49,22,0,
49,23,0,
49,24,1,
49,25,0,
49,26,0,
53,1,0,
53,2,0,
53,3,0,
53,4,0,
53,5,0,
53,6,0,
53,7,0,
53,8,0,
53,9,0,
53,10,0,
53,11,0,
53,12,2,
53,13,1,
53,14,4,
53,15,0,
53,16,0,
53,17,0,
53,18,1,
53,19,3,
53,20,0,
53,21,1,
53,22,0,
53,23,0,
53,24,0,
53,25,0,
53,26,0,
57,1,0,
57,2,0,
57,3,0,
57,4,0,
57,5,2,
57,6,3,
57,7,1,
57,8,0,
57,9,3,
57,10,0,
57,11,0,
57,12,0,
57,13,0,
57,14,0,
57,15,0,
57,16,1,
57,17,0,
57,18,0,
57,19,0,
57,20,0,
57,21,0,
57,22,0,
57,23,0,
57,24,0,
57,25,0,
57,26,0,
61,1,0,
61,2,0,
61,3,0,
61,4,1,
61,5,1,
61,6,1,
61,7,0,
61,8,0,
61,9,0,
61,10,1,
61,11,3,
61,12,0,
61,13,1,
61,14,2,
61,15,1,
61,16,1,
61,17,0,
61,18,0,
61,19,1,
61,20,0,
61,21,0,
61,22,0,
61,23,0,
61,24,0,
61,25,0,
61,26,0,
65,1,0,
65,2,0,
65,3,0,
65,4,2,
65,5,0,
65,6,1,
65,7,0,
65,8,0,
65,9,0,
65,10,1,
65,11,0,
65,12,0,
65,13,0,
65,14,0,
65,15,0,
65,16,0,
65,17,0,
65,18,0,
65,19,0,
65,20,0,
65,21,1,
65,22,0,"199.8 lb, recalibrated scale"
65,23,0,
65,24,0,
65,25,0,
65,26,0,
69,1,0,
69,2,0,
69,3,0,
69,4,3,
69,5,0,
69,6,0,
69,7,0,
69,8,0,
69,9,0,
69,10,0,
69,11,0,
69,12,0,
69,13,0,
69,14,0,
69,15,1,
69,16,0,
69,17,1,
69,18,0,
69,19,1,
69,20,0,
69,21,0,
69,22,0,
69,23,0,
69,24,1,
69,25,0,
69,26,0,
73,1,0,
73,2,1,
73,3,0,
73,4,2,
73,5,0,
73,6,0,
73,7,0,
73,8,2,
73,9,2,
73,10,0,
73,11,3,
73,12,2,
73,13,1,
73,14,1,
73,15,0,
73,16,0,
73,17,0,
73,18,0,
73,19,0,
73,20,1,
73,21,0,
73,22,0,1/2 biomass
73,23,0,biomass in 1/1 not 2/2
73,24,0,biomass in 1/1 not 2/2
73,25,0,biomass in 1/1 not 2/2
73,26,0,
77,1,1,
77,2,1,
77,3,0,
77,4,0,
77,5,0,
77,6,2,
77,7,0,
77,8,1,
77,9,3,
77,10,0,
77,11,1,
77,12,1,
77,13,0,
77,14,1,
77,15,0,
77,16,0,
77,17,0,
77,18,1,
77,19,1,
77,20,2,
77,21,3,
77,22,1,
77,23,1,
77,24,0,
77,25,0,
77,26,0,
81,1,0,
81,2,0,
81,3,0,
81,4,0,
81,5,2,
81,6,1,
81,7,1,
81,8,2,
81,9,2,
81,10,1,
81,11,1,
81,12,0,
81,13,3,
81,14,0,
81,15,2,
81,16,1,
81,17,2,
81,18,1,missing biomass data
81,19,1,
81,20,1,
81,21,4,
81,22,1,
81,23,1,
81,24,0,
81,25,0,lodged over weekend no biomass
81,26,0,
85,1,0,
85,2,0,
85,3,1,
85,4,1,
85,5,2,
85,6,0,
85,7,1,
85,8,4,
85,9,1,
85,10,0,
85,11,0,
85,12,0,no biomass
85,13,0,
85,14,0,
85,15,0,
85,16,0,
85,17,0,
85,18,0,
85,19,0,no biomass
85,20,2,
85,21,2,
85,22,1,
85,23,1,
85,24,0,
85,25,0,
85,26,0,
89,1,0,
89,2,0,
89,3,2,
89,4,3,
89,5,5,
89,6,0,
89,7,1,
89,8,1,
89,9,2,
89,10,2,
89,11,2,
89,12,1,
89,13,0,
89,14,0,
89,15,0,
89,16,0,
89,17,0,
89,18,0,
89,19,0,
89,20,0,
89,21,1,
89,22,0,
89,23,0,
89,24,0,
89,25,0,
89,26,0,
93,1,0,
93,2,0,
93,3,0,
93,4,1,
93,5,2,
93,6,2,
93,7,1,
93,8,0,
93,9,0,
93,10,0,
93,11,0,
93,12,0,
93,13,0,
93,14,0,
93,15,1,
93,16,0,
93,17,0,
93,18,0,
93,19,0,
93,20,0,
93,21,1,
93,22,0,
93,23,0,
93,24,1,
93,25,3,
93,26,0,
97,1,0,
97,2,0,
97,3,0,
97,4,1,
97,5,0,
97,6,1,
97,7,1,
97,8,5,
97,9,1,
97,10,1,
97,11,0,
97,12,0,
97,13,0,
97,14,0,
97,15,0,
97,16,0,
97,17,1,
97,18,0,
97,19,2,
97,20,1,
97,21,1,
97,22,0,
97,23,0,
97,24,1,
97,25,1,
97,26,0,
101,1,0,
101,2,2,
101,3,1,
101,4,1,
101,5,2,
101,6,0,
101,7,1,
101,8,1,
101,9,3,
101,10,0,
101,11,0,
101,12,0,
101,13,0,
101,14,0,
101,15,0,
101,16,4,
101,17,1,
101,18,0,
101,19,1,
101,20,0,
101,21,3,
101,22,0,
101,23,0,
101,24,1,
101,25,0,
101,26,0,
105,1,0,
105,2,2,
105,3,3,
105,4,1,
105,5,1,
105,6,1,
105,7,1,
105,8,2,
105,9,1,
105,10,0,
105,11,0,
105,12,0,
105,13,0,
105,14,0,
105,15,0,
105,16,0,
105,17,1,
105,18,0,
105,19,0,
105,20,0,
105,21,0,
105,22,0,
105,23,0,
105,24,1,
105,25,0,
105,26,0,
109,1,0,
109,2,0,
109,3,0,
109,4,0,
109,5,0,
109,6,0,
109,7,0,
109,8,2,
109,9,1,
109,10,0,
109,11,1,
109,12,0,
109,13,0,
109,14,1,
109,15,0,
109,16,1,
109,17,0,
109,18,0,
109,19,2,
109,20,1,
109,21,2,
109,22,0,
109,23,1,
109,24,0,
109,25,0,
109,26,0,
113,1,0,
113,2,3,
113,3,4,
113,4,4,
113,5,1,
113,6,1,
113,7,2,
113,8,4,
113,9,2,
113,10,0,
113,11,2,
113,12,0,
113,13,0,
113,14,0,
113,15,4,
113,16,0,
113,17,0,
113,18,0,
113,19,4,
113,20,3,
113,21,4,lost biomass
113,22,3,
113,23,2,
113,24,1,
113,25,2,
113,26,1,
117,1,0,
117,2,1,
117,3,1,
117,4,2,
117,5,3,
117,6,2,
117,7,2,
117,8,0,
117,9,2,
117,10,0,
117,11,0,
117,12,0,
117,13,0,
117,14,0,
117,15,0,
117,16,0,
117,17,1,
117,18,0,
117,19,0,
117,20,0,
117,21,5,
117,22,2,
117,23,3,
117,24,1,
117,25,1,
117,26,0,
121,1,0,
121,2,1,
121,3,1,
121,4,3,
121,5,2,
121,6,4,
121,7,5,
121,8,1,
121,9,0,
121,10,1,
121,11,1,
121,12,2,
121,13,0,
121,14,0,
121,15,1,
121,16,1,
121,17,0,
121,18,0,
121,19,1,
121,20,3,
121,21,2,
121,22,0,
121,23,0,
121,24,0,
121,25,1,
121,26,1,
125,1,1,
125,2,1,
125,3,0,
125,4,2,
125,5,2,
125,6,5,
125,7,5,
125,8,0,
125,9,1,
125,10,0,
125,11,0,
125,12,0,
125,13,1,
125,14,1,
125,15,0,
125,16,0,
125,17,0,
125,18,0,
125,19,0,
125,20,0,
125,21,2,
125,22,0,
125,23,1,
125,24,0,
125,25,0,
125,26,0,
129,1,0,
129,2,2,
129,3,0,
129,4,5,
129,5,5,
129,6,3,
129,7,5,
129,8,0,
129,9,0,
129,10,0,
129,11,0,
129,12,0,
129,13,0,
129,14,0,
129,15,0,
129,16,4,
129,17,1,
129,18,2,
129,19,1,
129,20,0,
129,21,0,
129,22,0,
129,23,0,
129,24,0,
129,25,0,
129,26,0,
133,1,0,
133,2,0,
133,3,0,
133,4,0,
133,5,2,
133,6,3,
133,7,3,
133,8,1,
133,9,0,
133,10,0,
133,11,0,
133,12,0,
133,13,1,
133,14,0,
133,15,0,
133,16,0,
133,17,1,
133,18,0,
133,19,1,
133,20,0,
133,21,2,
133,22,1,
133,23,1,
133,24,1,
133,25,0,
133,26,0,
137,1,0,
137,2,1,
137,3,1,
137,4,5,
137,5,3,
137,6,5,
137,7,3,
137,8,1,
137,9,1,
137,10,0,
137,11,0,
137,12,0,
137,13,0,
137,14,0,
137,15,0,
137,16,3,
137,17,1,
137,18,1,
137,19,0,
137,20,3,
137,21,1,
137,22,0,
137,23,0,
137,24,0,
137,25,0,
137,26,0,
141,1,0,
141,2,1,
141,3,0,
141,4,1,
141,5,0,
141,6,1,
141,7,2,
141,8,0,
141,9,3,
141,10,0,
141,11,3,
141,12,1,
141,13,1,
141,14,1,
141,15,0,
141,16,0,
141,17,0,
141,18,0,
141,19,0,
141,20,1,
141,21,4,
141,22,5,
141,23,3,
141,24,0,
141,25,0,
141,26,0,
145,1,0,
145,2,0,
145,3,0,
145,4,2,
145,5,0,
145,6,0,
145,7,4,
145,8,2,
145,9,3,
145,10,0,
145,11,1,
145,12,0,
145,13,3,
145,14,1,
145,15,0,
145,16,0,
145,17,0,
145,18,1,
145,19,5,
145,20,0,
145,21,2,
145,22,0,
145,23,1,
145,24,0,
145,25,0,
145,26,0,
149,1,0,
149,2,1,
149,3,1,
149,4,1,
149,5,2,
149,6,2,
149,7,3,
149,8,4,
149,9,5,
149,10,1,no 100% biomass
149,11,1,
149,12,1,no 100% biomass
149,13,1,
149,14,0,
149,15,0,
149,16,0,
149,17,0,
149,18,0,
149,19,1,
149,20,1,
149,21,3,
149,22,1,
149,23,1,
149,24,2,
149,25,1,
149,26,0,
153,1,0,
153,2,0,
153,3,2,
153,4,0,
153,5,1,
153,6,0,
153,7,1,
153,8,3,
153,9,0,
153,10,1,
153,11,0,
153,12,0,
153,13,3,
153,14,0,
153,15,0,
153,16,0,
153,17,1,
153,18,0,
153,19,2,
153,20,2,
153,21,1,
153,22,1,
153,23,1,
153,24,0,
153,25,0,
153,26,0,
157,1,0,
157,2,4,
157,3,1,
157,4,0,
157,5,0,
157,6,1,
157,7,1,
157,8,5,
157,9,2,maybe tractor damage
157,10,0,
157,11,4,
157,12,1,
157,13,2,
157,14,0,
157,15,0,
157,16,0,
157,17,0,
157,18,1,
157,19,0,
157,20,2,
157,21,1,
157,22,1,
157,23,0,
157,24,0,
157,25,0,
157,26,0,
161,1,NA,
161,2,NA,
161,3,NA,
161,4,NA,
161,5,NA,
161,6,NA,
161,7,NA,
161,8,NA,
161,9,NA,
161,10,NA,
161,11,NA,
161,12,NA,
161,13,NA,
161,14,NA,
161,15,NA,
161,16,NA,
161,17,NA,
161,18,NA,
161,19,NA,
161,20,NA,
161,21,NA,
161,22,NA,
161,23,NA,
161,24,NA,
161,25,NA,
161,26,NA,
165,1,NA,
165,2,NA,
165,3,NA,
165,4,NA,
165,5,NA,
165,6,NA,
165,7,NA,
165,8,NA,
165,9,NA,
165,10,NA,
165,11,NA,
165,12,NA,
165,13,NA,
165,14,NA,
165,15,NA,
165,16,NA,
165,17,NA,
165,18,NA,
165,19,NA,
165,20,NA,
165,21,NA,
165,22,NA,
165,23,NA,
165,24,NA,
165,25,NA,
165,26,NA,
