file_name,date,month,day,range,line,lai,height
07_29_2020_MiniLAI\5,07_29_2020,7,29,1,0,1.0465,1.0607
07_29_2020_MiniLAI\5,07_29_2020,7,29,2,5,1.9167,1.5392
07_29_2020_MiniLAI\5,07_29_2020,7,29,3,3,3.9364,0.9516
07_29_2020_MiniLAI\5,07_29_2020,7,29,4,4,2.3981,1.1797
07_29_2020_MiniLAI\5,07_29_2020,7,29,5,1,3.6555,1.7882
07_29_2020_MiniLAI\5,07_29_2020,7,29,6,2,2.4988,1.7719
07_29_2020_MiniLAI\5,07_29_2020,7,29,7,5,3.5503,1.6064
07_29_2020_MiniLAI\5,07_29_2020,7,29,8,3,3.2651,1.0295
07_29_2020_MiniLAI\5,07_29_2020,7,29,9,4,2.4178,1.1525
07_29_2020_MiniLAI\5,07_29_2020,7,29,10,1,4.618,1.9619
07_29_2020_MiniLAI\5,07_29_2020,7,29,11,2,3.8697,1.8879
07_29_2020_MiniLAI\5,07_29_2020,7,29,12,5,2.7423,1.5997
07_29_2020_MiniLAI\5,07_29_2020,7,29,13,3,3.2125,1.0281
07_29_2020_MiniLAI\5,07_29_2020,7,29,14,4,2.9236,1.3688
07_29_2020_MiniLAI\5,07_29_2020,7,29,15,1,4.5667,1.9134
07_29_2020_MiniLAI\5,07_29_2020,7,29,16,2,3.7263,1.9013
07_29_2020_MiniLAI\5,07_29_2020,7,29,17,5,3.3367,1.587
07_29_2020_MiniLAI\5,07_29_2020,7,29,18,3,2.6586,0.954
07_29_2020_MiniLAI\5,07_29_2020,7,29,19,4,3.1843,1.1638
07_29_2020_MiniLAI\5,07_29_2020,7,29,20,1,2.8476,1.461
07_29_2020_MiniLAI\5,07_29_2020,7,29,21,2,2.3653,1.3229
07_29_2020_MiniLAI\5,07_29_2020,7,29,22,0,3.3177,1.2942
08_08_2020_MiniLAI\5,08_08_2020,8,8,1,0,1.4443,1.3204
08_08_2020_MiniLAI\5,08_08_2020,8,8,2,5,3.1227,1.8552
08_08_2020_MiniLAI\5,08_08_2020,8,8,3,3,3.2356,1.1097
08_08_2020_MiniLAI\5,08_08_2020,8,8,4,4,3.9018,1.51
08_08_2020_MiniLAI\5,08_08_2020,8,8,5,1,3.4951,2.2322
08_08_2020_MiniLAI\5,08_08_2020,8,8,6,2,3.5767,2.1862
08_08_2020_MiniLAI\5,08_08_2020,8,8,7,5,3.9284,2.1552
08_08_2020_MiniLAI\5,08_08_2020,8,8,8,3,4.7905,1.1166
08_08_2020_MiniLAI\5,08_08_2020,8,8,9,4,3.8641,1.7566
08_08_2020_MiniLAI\5,08_08_2020,8,8,10,1,5.2222,2.2631
08_08_2020_MiniLAI\5,08_08_2020,8,8,11,2,3.5013,2.4663
08_08_2020_MiniLAI\5,08_08_2020,8,8,12,5,4.0714,2.0519
08_08_2020_MiniLAI\5,08_08_2020,8,8,13,3,4.5353,1.19
08_08_2020_MiniLAI\5,08_08_2020,8,8,14,4,2.5948,2.2734
08_08_2020_MiniLAI\5,08_08_2020,8,8,15,1,5.2827,2.3275
08_08_2020_MiniLAI\5,08_08_2020,8,8,16,2,4.3401,2.3469
08_08_2020_MiniLAI\5,08_08_2020,8,8,17,5,3.992,1.9518
08_08_2020_MiniLAI\5,08_08_2020,8,8,18,3,4.7232,1.1159
08_08_2020_MiniLAI\5,08_08_2020,8,8,19,4,3.55,1.4564
08_08_2020_MiniLAI\5,08_08_2020,8,8,20,1,3.9401,1.9609
08_08_2020_MiniLAI\5,08_08_2020,8,8,21,2,2.3573,1.8098
08_08_2020_MiniLAI\5,08_08_2020,8,8,22,0,2.6403,1.6568
08_21_2020_MiniLAI\5,08_21_2020,8,21,1,0,4.7006,1.5436
08_21_2020_MiniLAI\5,08_21_2020,8,21,2,5,2.9971,2.2721
08_21_2020_MiniLAI\5,08_21_2020,8,21,3,3,3.9798,1.2059
08_21_2020_MiniLAI\5,08_21_2020,8,21,4,4,3.6074,2.0715
08_21_2020_MiniLAI\5,08_21_2020,8,21,5,1,5.1561,2.6066
08_21_2020_MiniLAI\5,08_21_2020,8,21,6,2,2.7818,2.8064
08_21_2020_MiniLAI\5,08_21_2020,8,21,7,5,2.7322,2.3505
08_21_2020_MiniLAI\5,08_21_2020,8,21,8,3,2.6524,1.5718
08_21_2020_MiniLAI\5,08_21_2020,8,21,9,4,3.5309,2.2017
08_21_2020_MiniLAI\5,08_21_2020,8,21,10,1,3.9739,2.5768
08_21_2020_MiniLAI\5,08_21_2020,8,21,11,2,4.3426,2.8733
08_21_2020_MiniLAI\5,08_21_2020,8,21,12,5,2.6372,2.2552
08_21_2020_MiniLAI\5,08_21_2020,8,21,13,3,5.5076,1.3638
08_21_2020_MiniLAI\5,08_21_2020,8,21,14,4,3.7742,2.846
08_21_2020_MiniLAI\5,08_21_2020,8,21,15,1,5.146,2.694
08_21_2020_MiniLAI\5,08_21_2020,8,21,16,2,3.3869,2.8305
08_21_2020_MiniLAI\5,08_21_2020,8,21,17,5,2.13,2.2133
08_21_2020_MiniLAI\5,08_21_2020,8,21,18,3,3.9273,1.3073
08_21_2020_MiniLAI\5,08_21_2020,8,21,19,4,2.7806,2.587
08_21_2020_MiniLAI\5,08_21_2020,8,21,20,1,3.8253,2.287
08_21_2020_MiniLAI\5,08_21_2020,8,21,21,2,3.713,2.1667
08_21_2020_MiniLAI\5,08_21_2020,8,21,22,0,4.7487,1.8756
09_15_2020_MiniLAI\5,09_15_2020,9,15,1,0,5.6704,2.4808
09_15_2020_MiniLAI\5,09_15_2020,9,15,2,5,3.3427,3.3722
09_15_2020_MiniLAI\5,09_15_2020,9,15,3,3,4.4689,1.6456
09_15_2020_MiniLAI\5,09_15_2020,9,15,4,4,5.6322,2.7919
09_15_2020_MiniLAI\5,09_15_2020,9,15,5,1,6.1685,3.4626
09_15_2020_MiniLAI\5,09_15_2020,9,15,6,2,5.4544,3.2603
09_15_2020_MiniLAI\5,09_15_2020,9,15,7,5,3.089,3.3969
09_15_2020_MiniLAI\5,09_15_2020,9,15,8,3,6.0835,2.0532
09_15_2020_MiniLAI\5,09_15_2020,9,15,9,4,4.6719,3.5287
09_15_2020_MiniLAI\5,09_15_2020,9,15,10,1,4.855,3.3204
09_15_2020_MiniLAI\5,09_15_2020,9,15,11,2,5.0094,3.3489
09_15_2020_MiniLAI\5,09_15_2020,9,15,12,5,2.7867,2.7886
09_15_2020_MiniLAI\5,09_15_2020,9,15,13,3,6.7734,2.1761
09_15_2020_MiniLAI\5,09_15_2020,9,15,14,4,5.0217,2.993
09_15_2020_MiniLAI\5,09_15_2020,9,15,15,1,4.7471,3.6305
09_15_2020_MiniLAI\5,09_15_2020,9,15,16,2,6.6102,3.6735
09_15_2020_MiniLAI\5,09_15_2020,9,15,17,5,2.7808,2.9472
09_15_2020_MiniLAI\5,09_15_2020,9,15,18,3,3.2803,1.9696
09_15_2020_MiniLAI\5,09_15_2020,9,15,19,4,4.6953,2.9351
09_15_2020_MiniLAI\5,09_15_2020,9,15,20,1,5.726,3.1054
09_15_2020_MiniLAI\5,09_15_2020,9,15,21,2,4.2155,2.9829
09_15_2020_MiniLAI\5,09_15_2020,9,15,22,0,4.0368,2.5106
09_30_2020_MiniLAI\5,09_30_2020,9,30,1,0,5.1448,2.564
09_30_2020_MiniLAI\5,09_30_2020,9,30,2,5,3.1327,3.098
09_30_2020_MiniLAI\5,09_30_2020,9,30,3,3,5.9588,2.6954
09_30_2020_MiniLAI\5,09_30_2020,9,30,4,4,5.054,3.9888
09_30_2020_MiniLAI\5,09_30_2020,9,30,5,1,5.7808,3.9466
09_30_2020_MiniLAI\5,09_30_2020,9,30,6,2,5.976,3.8136
09_30_2020_MiniLAI\5,09_30_2020,9,30,7,5,3.6397,3.5721
09_30_2020_MiniLAI\5,09_30_2020,9,30,8,3,5.5031,1.971
09_30_2020_MiniLAI\5,09_30_2020,9,30,9,4,4.7422,3.575
09_30_2020_MiniLAI\5,09_30_2020,9,30,10,1,4.3284,3.1796
09_30_2020_MiniLAI\5,09_30_2020,9,30,11,2,4.1707,3.2854
09_30_2020_MiniLAI\5,09_30_2020,9,30,12,5,4.4185,2.7341
09_30_2020_MiniLAI\5,09_30_2020,9,30,13,3,6.405,2.1042
09_30_2020_MiniLAI\5,09_30_2020,9,30,14,4,4.4995,3.4755
09_30_2020_MiniLAI\5,09_30_2020,9,30,15,1,6.2728,3.1801
09_30_2020_MiniLAI\5,09_30_2020,9,30,16,2,5.2666,4.0208
09_30_2020_MiniLAI\5,09_30_2020,9,30,17,5,4.1513,2.403
09_30_2020_MiniLAI\5,09_30_2020,9,30,18,3,5.2791,2.9749
09_30_2020_MiniLAI\5,09_30_2020,9,30,19,4,5.6642,3.6312
09_30_2020_MiniLAI\5,09_30_2020,9,30,20,1,3.8358,2.8162
09_30_2020_MiniLAI\5,09_30_2020,9,30,21,2,4.1972,3.1121
09_30_2020_MiniLAI\5,09_30_2020,9,30,22,0,5.0934,2.5654